shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Nike Space Hippie 04 Iron Grey (W), Nike, CD3476-002, 130, 66, 53, 53, 6374fd7803a96e36ed3d38d9, Nike Space Hippie 04, Iron Grey/Bright Crimson-Light Smoke Grey, 2020-11-14, A sustainable shoe with a bold design the Wmns Space Hippie 04 'Iron Grey' features a neutral colorway. Built with deconstructed Flyknit the shoe's upper sports a heathered grey finish incorporating yarns made with post-industrial and post-consumer waste. A heel pull-loop is included for easy on and off while underfoot a speckled Crater Foam midsole provides cushioning. A modified waffle rubber outsole is included for traction.
Nike Air Zoom Pegasus 37 Black White, Nike, BQ9646-002, 120, 68, 60, 60, 6374fd7803a96e36ed3d38db, Nike Air Zoom Pegasus 37, Black/White, 2020-04-28, The Air Zoom Pegasus 37 'Black White' emerges with a classic two-tone look. The shoe's upper is built with textile finished in black and contrasted by white on the Swoosh branding. Underfoot the midsole provides contrast built with React foam and housing Zoom Air in the forefoot to provide cushioning. The outsole includes waffle pistons for traction.
Nike Air Carnivore Comme des Garcons Homme Plus Black, Nike, DH0199-001, 330, 215, 190, 190, 6374fd7803a96e36ed3d38dc, Nike Air Carnivore, Black/Black-White-Black, 2021-05-01, Bringing back the 1993 cross-trainer the Comme des Garçons Homme Plus x Air Carnivore 'Black' debuted at Comme des Garçons' Spring/Summer 2021 runway show in Tokyo. Appearing in all black the shoe's upper is built with a mesh base overlaid by tonal nubuck at the toe and heel with a high-cut neoprene collar supporting the design. A branded midfoot strap secures the fit and adds 3M reflective detailing while the heel contrasts the look with 'Comme des Garçons Homme Plus' in white.
Nike Vaporwaffle sacai Black White, Nike, CV1363-001, 180, 395, 450, 349, 6374fd7803a96e36ed3d38dd, Nike Vaporwaffle, Black/Summit White-Pure Platinum, 2020-11-13, The Sacai x VaporWaffle 'Black White' released as part of a collaboration with the Japanese fashion label. Drawing from a 2019 LDV Waffle collaboration the shoe's upper is built with a mix of mesh and suede finished in black and white. The tongues and Swooshes all feature a double construction while co-branding marks the heel. Underfoot the stacked exaggerated midsole adds to the doubled-up look giving way to a waffle outsole for traction.
Nike Space Hippie 04 Sail Astronomy Blue, Nike, CZ6398-101, 130, 80, 64, 64, 6374fd7803a96e36ed3d38df, Nike Space Hippie 04, Sail/Astronomy Blue-Fossil-Chambray Blue, 2020-09-23, A sustainable shoe the Space Hippie 04 'Astronomy Blue' is built with Space Waste Yarn which includes 85% recycled polyester built with plastic bottles t-shirts and yarn scraps. Finished in tan and subtly accented by the Swoosh branding a heel pull-loop provides easy on and off. Underfoot the speckled Crater Foam midsole incorporates 12% Nike Grind rubber as well as standard foams.
Nike Space Hippie 03 Grey Volt, Nike, CQ3989-002, 180, 104, 119, 119, 6374fd7803a96e36ed3d38e0, Nike Space Hippie 03, Wolf Grey/Black-Volt-Dark Smoke Grey, 2020-07-16, The Space Hippie 03 'Grey Volt' released as part of a sustainable collection. The shoe's upper is built with Space Waste Yarn which incorporates recycled plastic water bottles and T-Shirts. The sock-like upper is highlighted by a midfoot overlay worked into a midfoot strap while underfoot the Crater Foam midsole is built in part with Nike Grind rubber. Recycled ZoomX foam provides further cushioning.
Nike ISPA Overreact Sandal Black, Nike, CQ2230-001, 160, 161, 74, 74, 6374fd7803a96e36ed3d38e1, Nike ISPA Overreact Sandal, Black/Anthracite-Black, 2020-07-31, The ISPA OverReact Sandal 'Thunder Grey' released as part of Nike's experimental line. The shoe's upper emerges with a deconstructed look supported by webbing straps and a drawcord lacing system. Finished in Thunder Grey Obsidian and black the design is cushioned underfoot by a stacked React midsole which includes a tread pattern on the side wall. That same pattern marks the outsole which incorporates added rubber at the toe and heel for traction.
Nike Space Hippie 02 Grey Volt, Nike, CQ3988-002, 150, 89, 75, 75, 6374fd7803a96e36ed3d38e3, Nike Space Hippie 02, Wolf Grey/Black-Volt-Dark Smoke Grey, 2020-07-16, Releasing as part of a sustainable collection the Space Hippie 02 'Grey Volt' emerges with a recycled construction. The shoe's laceless design is built with a mix of recycled plastic water bottles and T-shirts supported by an elastic cuff as well as tongue and heel pull-loops. Underfoot the Crater Foam midsole is built with the help of Nike Grind rubber with the insole incorporating ZoomX scraps for further cushioning.
Nike Vaporwaffle sacai Tour Yellow Stadium Green, Nike, CV1363-700, 180, 224, 279, 279, 6374fd7803a96e36ed3d38e5, Nike Vaporwaffle, Tour Yellow/Stadium Green-Sail, 2020-12-17, Nike teamed up with the Japanese fashion label to create the Sacai x VaporWaffle 'Tour Yellow.' A follow-up to a layered LDV Waffle collaboration in 2019 the shoe emerges with a double tongue Swoosh and laces. The heel patch sports co-branding while a heel pull-loop provides easy on and off. Underfoot a split construction marks the heel of the stacked midsole giving way to a rubber outsole with a waffle pattern for traction.
Nike Space Hippie 04 Mystic Navy, Nike, CZ6398-400, 130, 93, 87, 87, 6374fd7803a96e36ed3d38e6, Nike Space Hippie 04, Mystic Navy/Chambray Blue-Coastal Blue, 2020-12-08, The Space Hippie 04 'Mystic Navy' brings a subdued look to its sustainable construction. Part of the Space Hippie line the shoe's upper features Flyknit built with recycled yarns taken from post-industrial and post-consumer waste. Rope laces and heel pull-loop support the fit while underfoot the speckled Crater Foam midsole continues the thematic build incorporates Nike Grind rubber along with standard foams for cushioning.
Nike Space Hippie 04 Summit White Hyper Crimson (W), Nike, CD3476-100, 130, 66, 63, 63, 6374fd7803a96e36ed3d38e9, Nike Space Hippie 04, Summit White/Hyper Crimson-Vast Grey-White, 2020-07-03, Part of a five-shoe collection the Wmns Space Hippie 04 'This Is Trash - Crimson' emerges wtih a sustainable construction. Built with Space Waste Yarn the shoe's Flyknit upper is constructed from roughly 90% recycled polyester. Underfoot a Crater Foam midsole built with Nike Grind rubber and recycled foam materials provides cushioning.
Nike Space Hippie 01 Grey Volt, Nike, CQ3986-002, 130, 76, 75, 75, 6374fd7803a96e36ed3d38ec, Nike Space Hippie 01, Wolf Grey/Black-Volt-Dark Smoke Grey, 2020-07-16, Part of an exploratory footwear collection utilizing 'space junk'—scrap materials taken from Nike factory floors—the Space Hippie 01 'Grey Volt' emerges with a recycled construction. The shoe's upper is built with a mix of recycled plastic water bottles T-shirts and yarn scraps finished in grey and highlighted by the Swoosh branding. Underfoot a Crater Foam midsole incorproates 15% Nike Grind rubber with the ZoomX foam insole built with leftovers from the production of the Vaporfly 4%.
Nike Space Hippie 03 Vast Grey Hyper Crimson, Nike, CQ3989-001, 180, 200, 167, 167, 6374fd7803a96e36ed3d38ed, Nike Space Hippie 03, Vast Grey/Hyper Crimson-White-Ice Blue, 2020-07-03, The Space Hippie 03 'This Is Trash' released as part of a sustainable collection inspired by the idea of life on Mars. Built with Space Waste Yarn constructed from about 90% recycled polyester the shoe's upper incorporates FlyEase and FastFit technologies. Underfoot the speckled Crater Foam midsole incorporates Nike Grind rubber and foam compounds to provide cushioning.
Nike M2K Tekno White Metallic Silver Black (W), Nike, CJ9583-100, 100, 84, 60, 60, 6374fd7803a96e36ed3d38ee, Nike M2K Tekno, White/White-Metallic Silver-Black, 2019-11-01, Based on the Monarch series the Nike Women's M2K Tekno ESS revamps the unique '90s look with comtemporary detailing. Issued in September 2019 this women's iteration features textured metallic silver inserts peeking out through cutouts in the leather upper. Stitched emblems speak to the vintage aesthetic and a TPU heel clip adds a modern touch. An outsized foam midsole and contrast rubber outsole complete the look.
Nike Zoom Double Stacked Barely Volt (W), Nike, CI0804-700, 230, 94, 55, 34, 6374fd7803a96e36ed3d38ef, Nike Zoom Double Stacked, Barely Volt/Barely Volt, 2020-07-02, The Zoom Double Stacked 'Barely Volt' emerges with a vibrant monochromatic colorway to go with its bold performance construction. Drawing from the Air Zoom AlphaFly NEXT% the upper is built with mesh overlaid by leather at the heel and finished in Barely Volt. Underfoot the midsole sports a cored-out construction that incorporates double-stacked Zoom Air to provide lightweight cushioning.
Nike Air Carnivore Comme des Garcons Homme Plus White, Nike, DH0199-100, 330, 178, 167, 167, 6374fd7803a96e36ed3d38f1, Nike Air Carnivore, White/White-Black-White, , The Comme des Garçons Homme Plus x Air Carnivore 'White' debuted at Comme des Garçons' Spring/Summer 2021 runway show in Tokyo reviving the 1993 trainer. The shoe's upper is built with a mix of mesh and synthetic leather finished in white and secured by adjustable straps. A high-cut neoprene collar supports the fit while the heel adds 'Comme des Garçons Homme Plus' in contrasting black. Underfoot Air in the forefoot and heel of the phylon midsole provides cushioning.
Nike ISPA Road Warrior Clear Jade, Nike, CW9410-400, 500, 435, 285, 285, 6374fd7803a96e36ed3d38f2, Nike ISPA Road Warrior, Black/Clear Jade, 2020-10-23, Drawing from the Zoom Alphafly Next% and Nike Shox prototypes the ISPA Road Warrior 'Clear Jade' emerges with a bold construction. The shoe's upper is built with paneled mesh with rubberized overlays worked into the strap system. A split-toe construction supports the fit while undefoot the floating midsole incorporates visible Zoom Air in the forefoot and midfoot for cushioning. A rubber outsole is included for traction.
Nike Pegasus Trail 2 Barely Volt Poison Green, Nike, CK4305-700, 130, 75, 75, 75, 6374fd7803a96e36ed3d38f3, Nike Pegasus Trail 2, Barely Volt/Laser Blue-Poison Green-Black, 2020-06-04, The Pegasus Trail 2 'Barely Volt' sports a vibrant upper and neutral tooling. The shoe's upper is built with mesh supported by a midfoot cage and a faux gaiter piece around the collar. Underfoot a speckled React midsole provides cushioning giving way to a prominent rubber outsole for traction.
Nike ACG Air Zoom AO Laser Crimson, Nike, CT2898-001, 130, 103, 75, 75, 6374fd7803a96e36ed3d38f5, Nike ACG Air Zoom AO, Black/Black-Laser Crimson, 2020-07-09, The ACG Zoom Air AO 'Black Laser Crimson' is an amphibious hiking shoe. The shoe's upper is built with mesh finished in black and supported by concealed toggle laces. The heel counter accents the look in Laser Crimson and provides stability while the Swoosh branding sports 3M reflective detailing. Underfoot the heel of the midsole includes Zoom Air for cushioning with the sole unit itself sporting drain ports.
Nike Daybreak Teal Tint Midnight Navy, Nike, CZ0614-300, 110, 65, 49, 49, 6374fd7803a96e36ed3d38f6, Nike Daybreak, Teal Tint/Midnight Navy-Jade Aura-Sail, 2020-06-30, The Daybreak SP 'Teal Tint' brings an updated construction to the vintage runner. The shoe's upper features a Nexkin base a translucent textile sporting a screen-printed Swoosh on the side wall. The eyestay toe and heel include suede overlays while underfoot a white foam midsole gives way to a rubber waffle outsole for traction.
Nike Daybreak Type Black Menta, Nike, CJ1156-001, 90, 50, 43, 43, 6374fd7803a96e36ed3d38f8, Nike Daybreak Type, Black/Menta-Summit White-Anthracite, 2020-04-30, Part of Nike's experimental N.354 line the Daybreak-Type 'Anthracite Menta' features a prototype-inspired design drawn from the brand's archives. Featuring a 70s-style look the shoe's upper is built with semitranslucent mesh and suede overlays finished in black and highlighted by Menta on the Swoosh zigzag stitching and deconstructed heel patch. Underfoot a rubber waffle outsole offers traction.
Nike Air Zoom Pegasus 37 Pale Ivory (W), Nike, BQ9647-102, 120, 77, 63, 63, 6374fd7803a96e36ed3d38fa, Nike Air Zoom Pegasus 37, Pale Ivory/Barely Volt-Sail-Ghost, 2020-04-28, A pastel look the Wmns Air Zoom Pegasus 37 'Pale Ivory' released in April 2020. Built with textile the upper sports a color-blocked design with mismatched Swoosh branding adding further color. Semitransparent paneling provides breathability while internal bands are worked into the lacing system. Underfoot a React foam midsole works with Zoom Air in the forefoot to provide cushioning.
Nike ACG Nasu Gore-tex Khaki, Nike, CW5924-200, 140, 110, 90, 90, 6374fd7803a96e36ed3d38fb, Nike ACG Nasu, Khaki/Golden Beige, 2020-11-12, Part of Nike's All Conditions Gear line the ACG Air Nasu Gore-Tex 'Khaki Golden Beige' features inspiration from Japan's Mount Nasu. The shoe's neutral textile upper is bolstered by no-sew overlays with the design lines drawn from the Air Wallowa Air Humara and Air Terra Grand. The laces eyelets and heel branding all sport reflective detailing while Gore-Tex is included to waterproof the design. A lugged rubber outsole offers traction.
Nike React Infinity Run Flyknit Blue Ribbon Sports, Nike, CW7597-100, 160, 251, 125, 125, 6374fd7803a96e36ed3d38fc, Nike React Infinity Run Flyknit, White/Track Red-Blue Void, 2020-04-25, The React Infinity Run Flyknit 'Blue Ribbon Sports' pays tribute to Nike's origins as Blue Ribbon Sports. As a result the shoe's multilayer Flyknit upper sports a direct callout on the heel. A two-tone heel counter provides stability while underfoot the React foam midsole sports a higher stack height and wider shape for further support.
Nike Pegasus Trail 2 Pure Platinum Fossil Laser Orange (W), Nike, CK4309-001, 130, 55, 61, 61, 6374fd7803a96e36ed3d38fd, Nike Pegasus Trail 2, Pure Platinum/Fossil-Limelight-Laser Orange, 2020-06-04, The Wmns Pegasus Trail 2 'Limelight Laser Orange' emerges with a pastel look. Built with Pure Platinum textile tan mesh overlays the fit with Laser Orange accenting the Swoosh branding. Underfoot a React midsole provides cushioning giving way to a rubber outsole with a shockwave-style traction pattern.
Nike Air Zoom Pegasus 37 White Black, Nike, BQ9646-100, 120, 110, 89, 89, 6374fd7803a96e36ed3d3901, Nike Air Zoom Pegasus 37, White/Pure Platinum-Black, 2020-04-28, The Air Zoom Pegasus 37 'Pure Platinum' features a classic colorway on its performance build. The shoe's upper is built with textile finished in white and supported by semitranslucent paneling for breathability. Internal bands are worked into the lacing system while the collar is designed to taper away from the Achilles. Underfoot the React foam midsole includes Zoom Air in the forefoot to provide cushioning.
Nike React Vision Barely Volt Laser Crimson, Nike, CD4373-102, 140, 84, 75, 71, 6374fd7803a96e36ed3d3905, Nike React Vision, Summit White/Barely Volt-Laser Crimson-Black, 2020-06-12, The React Vision 'Barely Volt Pink' brings a vibrant look to its bold construction. Built with a mesh base the look is highlighted by hits of red and purple. Barley Volt emerges on the eyestay while an external heel counter is included for stability. Underfoot a white React midsole provides cushioning giving way to traction pods that climb up the forefoot and heel.
Nike Space Hippie 04 White Multi (W), Nike, CD3476-102, 130, 76, 60, 60, 6374fd7803a96e36ed3d3906, Nike Space Hippie 04, Summit White/Photon Dust-Concord-Multi Color, 2021-05-21, Constructed with 25% recycled content by weight the Wmns Space Hippie 04 'Photon Dust' is a lifestyle shoe with vibrant accents. The shoe's Flyknit upper incorporates lightweight yarns made from post-industrial waste highlighted by a multicolor Swoosh stitched into the side wall. More multicolor accents mark the large heel pull-loop which provides easy on and off while underfoot a speckled Crater Foam midsole provides cushioning. A waffle rubber outsole is included for traction.
Nike Space Hippie 04 Iron Grey, Nike, CZ6398-002, 130, 80, 75, 75, 6374fd7803a96e36ed3d3907, Nike Space Hippie 04, Iron Grey/Bright Crimson-Light Smoke Grey, 2020-11-14, The Space Hippie 04 'Iron Grey' features a largely neutral look on its sustainable construction. The shoe's upper is built with Space Waste Yarn incorporating 85% recycled polyester finished in a heathered grey fashion. A heel pull-loop provides easy on and off while underfoot the Crater Foam midsole is built with a mix of Nike Grind and standard foams. Multicolor speckling on the tooling brings color to the look.
Nike Space Hippie 01 Black Wheat, Nike, CZ6148-002, 130, 70, 61, 61, 6374fd7803a96e36ed3d390a, Nike Space Hippie 01, Black/Wheat-White, 2020-08-20, Part of Nike's sustainable footwear collection the Space Hippie 01 'Black Wheat' is a lightweight track-inspired shoe. The shoe's upper is built with Space Waste Yarn that incorporates about 85% recycled polyester with a unique lacing system and dual pull-loops supporting the fit. Underfoot a speckled Crater Foam midsole built in part with Nike Grind rubber gives way to prominent outsole for traction.
Nike Space Hippie 04 Grey Volt (W), Nike, CD3476-001, 130, 65, 49, 49, 6374fd7803a96e36ed3d390b, Nike Space Hippie 04, Wolf Grey/Volt-Black-Dark Smoke Grey, 2020-06-11, The Wmns Space Hippie 04 'This Is Trash - Volt' released as part of a five-shoe pack inspired by the idea of sustainability and life on Mars. Bult with Space Waste Yarn created using about 90% recycled polyester the upper is highlighted by Volt on the Swoosh branding. Underfoot the tooling continues the sustainable build with a speckled Crater Foam midsole built with the help of Nike Grind rubber.
Nike Space Hippie 04 Grey Volt, Nike, CZ6398-001, 130, 69, 55, 55, 6374fd7803a96e36ed3d390e, Nike Space Hippie 04, Wolf Grey/Volt-Black-Dark Smoke Grey, 2020-07-03, The Space Hippie 04 'Grey Volt' brings a sustainable construction to its bold design. Built with Space Waste Yarn the upper incorporates recycled plastic water bottles T-shirts and yarn scraps finished in grey and highlighted by the Swoosh branding. Underfoot the speckled Crater Foam midsole includes a mix of standard foams and Nike Grind rubber while the insole is built with recycled ZoomX foam to provide further cushioning.
Nike Space Hippie 01 Vast Grey Hyper Crimson, Nike, CQ3986-001, 130, 97, 84, 84, 6374fd7803a96e36ed3d3913, Nike Space Hippie 01, Vast Grey/Hyper Crimson-White-Ice Blue, 2020-07-03, The Space Hippie 01 'This Is Trash' released as part of a five-piece collection centered around sustainability. Built with Space Waste Yarn constructed from 90% recycled polyester the shoe's sock-like upper is highlighted by a uniquely stylized Swoosh. Underfoot the Crater Foam midsole is built with a mix of Nike Grind rubber and foam compounds while the sockliner incorporates ZoomX foam scraps.
Nike Pegasus Trail 2 Black Dark Smoke Grey, Nike, CK4305-002, 130, 90, 65, 65, 6374fd7803a96e36ed3d3914, Nike Pegasus Trail 2, Black/Spruce Aura-Dark Smoke Grey, 2020-06-04, The Pegasus Trail 2 'Dark Smoke Grey' brings a neutral look to its trail-ready construction. Built with a mesh base the upper is bolstered by a midfoot cage and a faux gaiter piece around the collar. A heel pull-loop provides easy on and off while underfoot the midsole incorporates React foam for cushioning. The rubber outsole includes durable nubs for traction.
Nike Waffle Racer 2X Summit White (W), Nike, DC4467-100, 100, 79, 59, 59, 6374fd7803a96e36ed3d3915, Nike Waffle Racer 2X, Summit White/Volt/Chrome/Black, 2020-08-03, Updating the classic runner the Wmns Waffle Racer 2X 'Summit White Volt' released in August 2020. Built with textile and overlaid by suede the upper is highlighted by a streak of Volt through the side wall. An embroidered Swoosh provides contrast in black matched by the heel patch and vamp. Underfoot the outsole sports an exaggerated waffle pattern that climbs up the forefoot.
Nike React Vision Orange Volt (W), Nike, CI7523-100, 140, 68, 53, 53, 6374fd7803a96e36ed3d3917, Nike React Vision, Summit White/Black-Laser Orange-Volt, 2020-06-13, The Wmns React Vision 'Pale Ivory' emergs with vibrant accents on its performance running construction. Built with mesh the neutral upper is highlighted by layered eyelets and a TPU heel counter with black on the tongue and heel pull-loops. Underfoot a React foam midsole provides cushioning with traction pods that climb up the toe and heel.
Nike ISPA Overreact Shadowberry, Nike, CD9664-002, 180, 81, 80, 80, 6374fd7803a96e36ed3d3918, Nike ISPA Overreact, Black/Bordeaux-Anthracite, 2020-09-10, The ISPA OverReact Flyknit 'Shadowberry' brings a largely neutral look to its bold construction. The shoe's Flyknit upper is built with excess yarns that create a unique pattern on each pair. A hook-and-loop closure secures the fit in place of traditional laces while underfoot the Nike React midsole is updated with a data-informed design. The outsole includes added rubber at the toe and heel for traction.
Nike Space Hippie 02 Vast Grey Hyper Crimson, Nike, CQ3988-001, 150, 48, 52, 52, 6374fd7803a96e36ed3d3919, Nike Space Hippie 02, Vast Grey/Hyper Crimson-White-Ice Blue, 2020-07-03, Part of a five-piece sustainable collection the Space Hippie 02 'This Is Trash' features a recycled construction. The upper incorporates Space Wase Yarn made of about 90% recycled polyester harvested from plastic bottles T-shirts and yarn scraps. Underfoot the Crater Foam midsole utilizes Nike Grind rubber as well as standard foam compounds with a recycled ZoomX foam sockliner adding further cushioning.
Nike Waffle One Team Orange (W), Nike, DC2533-800, 100, 58, 43, 43, 6374fd7803a96e36ed3d391a, Nike Waffle One, Team Orange/Purple Pulse/Active Fuchsia/Hyper Crimson, 2021-05-13, The Wmns Waffle One 'Fuchsia Gold' brings a vibrant look to its retro-modern construction. Built with transparent mesh the shoe's upper is overlaid by suede finished in a mix of Active Fuchsia and orange with leather on the Swoosh branding and a TPU heel counter offering stability. Underfoot a wedge foam midsole provides cushioning giving way to a waffle rubber outsole for traction.
Nike Daybreak Type Summit White Light Orewood Brown, Nike, CJ1156-100, 90, 75, 75, 50, 6374fd7803a96e36ed3d391b, Nike Daybreak Type, Summit White/Black-Light Orewood Brown, 2020-04-30, A deconstructed take on the 1979 Daybreak the Daybreak-Type 'Light Orewood Brown' emerges with a neutral look. The shoe's upper is built with semitranslucent mesh in place of the usual nylon with the exposed-foam tongue and suede overlays staying intact. A stitched Swoosh outline emerges on the side wall while underfoot a foam midsole gives way to a prominent waffle outsole for traction.
Nike ACG Zoom Air AO Smoke Grey Amarillo, Nike, CT2898-002, 130, 136, 90, 90, 6374fd7803a96e36ed3d391c, Nike ACG Zoom Air AO, Smoke Grey/Metallic Silver-Amarillo, 2020-07-09, The ACG Zoom Air AO 'Grey Metallic Silver' brings vibrant accents to its amphibious hiking design. Built with mesh the upper appears in a greyscale fashion supported by a bootie construction and highlighted by hits of Amarillo throughout. Concealed toggle laces secure the fit while underfoot the midsole houses Zoom Air in the heel for cushioning. The outsole includes drain ports.
Nike React Phantom Run Flyknit 2 Red Orbit, Nike, CJ0277-002, 140, 129, 107, 92, 6374fd7803a96e36ed3d391d, Nike React Phantom Run Flyknit 2, Black/Red Orbit-Green Spark-White, 2020-05-05, The React Phantom Run Flyknit 2 'Red Orbit' sports a vibrant contrasting look on its performant running construction. Built with Flyknit the shoe's upper is supported by Flywire cables at the midfoot eliminating the need for traditional laces. A heel counter is included for stability while tongue and heel pull-loops provide easy on and off. Underfoot a React foam midsole provides cushioning giving way to a rubber outsole for traction.
Nike ISPA Overreact Sail Multi, Nike, CD9664-100, 180, 104, 60, 60, 6374fd7803a96e36ed3d391e, Nike ISPA Overreact, Sail/Multi-Color-Barely Orange, 2020-07-09, Part of Nike's experimental line the ISPA OverReact Flyknit 'Light Bone' is built with excess yarns creating a one-of-a-kind look on each pair. The Flyknit upper is supported by hook-and-look straps in place of traditional laces while the design forgoes a sockliner to allow for direct contact with the React midsole underfoot. Rubber sections on the toe and heel of the outsole are included for added traction.
