,qid,docid,docno,rank,score,text,shoeName,query,relevance score
10,1,172,6374feabeae4ab372ce3e73e,10,4.570813737,The Gel Nandi High Gore-Tex 'Winterized Pack' updates the Gel Nandi trail shoe with a sneakerboot construction. Featuring a weatherized build the shoe's layered construction emerges in a mix of suede and textile finished in Graphite Grey and black and highlighted by teal throughout including on the webbing straps. A heel pull-loop provides easy on and off while underfoot a Gel Nandi midsole includes Gel for cushioning giving way to a lugged rubber outsole for traction.,ASICS Gel-Nandi Hi G-TX Winterized Pack (2020),Winter training shoes,3
11,1,2297,6374fd9903a96e36ed3d4481,11,4.393864983,Debuted as a cross-training shoe for use in multiple sports the Air Trainer 1 has become a lifestyle staple. Originally designed by Tinker Hatfield Travis Scott offers a unique take via altering key parts of the shoe. Textile and nubuck comprise the upper in Light Chocolate and Archaeo Brown with Scott's signature reverse Swoosh appearing on the medial side of the shoe. 'Cactus Corporation' branding elements appear on the tongue and back heel counter where a zippered stash pocket is found. The Houston rapper offers unique takes across the shoe including a removable ripstop shroud that can be snapped onto the upper for protection against the elements and a reworked outsole that feature rows of nubs for grippy traction.,Nike Air Trainer 1 SP Travis Scott Wheat,Winter training shoes,0
12,1,1517,6374fd5403a96e36ed3d2137,12,4.375633666,Releasing to celebrate Japan's relay race season the Zoom Pegasus Turbo 2 'Ekiden Zoom Pack' also sports inspiration from Japanese bullet trains. The latter becomes apparent on the Neptune Green finish throughout the lofted mesh upper with Midnight Turquoise complementing the design. Underfoot the ZoomX midsole provides cushioning giving way to a rubber outsole for traction.,Nike Zoom Pegasus Turbo 2 Neptune Green,Winter training shoes,0
13,1,64,6374feabeae4ab372ce3e611,13,4.370793729,The Gel Lyte 3 Gore-Tex 'Winterized Pack' features a weatherized build on its retro running construction. The shoe's upper is built with a mix of ripstop and suede finished in Graphite Grey and black. Water-repellent Gore-Tex supports the fit while a full-length zipper emerges on the signature split tongue. The laces highlight the look in teal with a similar finish on the rubber outsole. Gel in the midsole provides cushioning.,ASICS Gel-Lyte III OG G-TX Winterized Pack (2020),Winter training shoes,5
14,1,1658,6374fd8803a96e36ed3d3d31,14,4.370793729,Part of a Game of Thrones capsule collection the Game Of Thrones x UltraBoost 4.0 'White Walkers' released in March 2019. Inspired by the show's undead antagonists the shoe's Primeknit upper appears in white supported by an Ice Blue Three-Stripes lacing cage external heel counter and forefoot overlay. 'Winter Is Here' appears on the heel while underfoot a white Boost midsole gives way to a white Continental rubber outsole.,adidas Ultra Boost 4.0 Game of Thrones White Walkers,Winter training shoes,0
15,1,2352,6374fd9903a96e36ed3d4698,15,4.370793729,The Air Force 1 GTX Boot 'Black Gum' is a winterized take on the basketball classic. The shoe's all-black upper is built with leather with a silicone strap supporting the ankle and reflective detailing outlining the Swoosh branding. The inner lining includes a waterproof construction noted by the Gore-Tex branding embroidered on the lateral heel. Underfoot a gum rubber sole unit includes a lugged pattern on the outsole for traction.,Nike Air Force 1 High Gore-Tex Boot Anthracite,Winter training shoes,4
16,1,3244,6374fd9603a96e36ed3d439b,16,4.300658006,Giving the classic silhouette a winter-ready makeover is the Nike women's Dunk High LX 'Toasty.' The shoe is made with 20% recycled content by weight and features a quilted textile upper in mismatched panels of white brown green and tan with a black synthetic suede Swoosh. A crimson suede heel tab gives a bold pop of color. Nike's pinwheel tongue tag references the shoe's sustainable build while the sockliner features Toasty branding in a nod to the warm fleece that lines the interior.,Nike Dunk High Next Nature Summit White (W),Winter training shoes,3
17,1,2899,6374feb3eae4ab372ce3eaf7,17,4.285748013,The Calibrate Restored Winterized 'Vaporous Grey Black' features a weatherized construction and modern tooling. The shoe's upper incorporates a mix of mesh textile and suede finished in black and grey. Suede overlays the forefoot and heel while the lower eyelets tongue branding inner lining and heel pull-loop all highlight the look in neon green with gold on the Puma tag and upper eyelets. Underfoot the XETIC midsole created in a lab provides cushioning.,Puma Calibrate Restored Winterized Vaporous Grey Black,Winter training shoes,5
18,1,1391,6374fd7803a96e36ed3d3bd4,18,4.164208945,The Air Zoom Pegasus 37 Shield 'Black Anthracite' features a blacked-out colorway on its performance running construction. The shoe's upper features a half-length weatherized shroud treated with a DWR (durable water-repellent) coating finished in black and complemented by hits of Anthracite. Reflective detailing is included for visibility while underfoot the React foam midsole houses Zoom Air in the forefoot for cushioning giving way to a Storm-Tread outsole that draws from winter tires.,Nike Air Zoom Pegasus 37 Shield Black Anthracite,Winter training shoes,5
19,1,1140,6374ff50c30ceb3748b488cc,19,4.086941521,Bringing a winterized version to the classic silhouette is the Air Jordan 4 TD 'Wild Things.' The upper is made of tan leather with plush fleece construction on the collar and tongue. Individually colored eyelets are finished in neon green pink blue and red with blue and red hues repeated on the sneaker's mismatched wings. Jumpman branding decorates the tongue and dark beige heel panel. The shoe is built on a soft foam midsole reinforced with grippy gum rubber under the forefoot and heel.,Jordan 4 Retro Where the Wild Things Are (TD),Winter training shoes,1
20,1,3231,6374fd9603a96e36ed3d4354,20,4.074360066,Part of a set of Nike Dunk SBs celebrating four MLB teams this Dunk High pays homage to the New York Mets. The upper features grey mesh with suede overlays in the forefoot and heel with a textile Swoosh in Rush Blue with contrasting Team Orange stitching. Extra NY Mets details emerge on the inside tongue tags where the Met's Home Run Apple can be found on the right shoe and a '7' graphic on the left (signifying the 7 train that leads into Citi Field). A contrasting white midsole gives way to a gum rubber outsole where a small pink spot on the right shoe is a nod to stepping in bubble gum at the ballpark.,Nike SB Dunk High New York Mets,Winter training shoes,0
21,1,2027,6374febaeae4ab372ce3ec73,21,3.907364272,Tributing MTA subway trains in New York City the Saucony Shadow 6000 ALIFE features a white mesh upper with multicolor suede overlays that represent the iconic lines in the subway system. Reflective metallic Saucony insignia on the quarter panels ALIFE logos on the toe wraps and gum outsoles add the finishing touches to this collaborative trainer.The Saucony Shadow 6000 ALIFE released in December of 2021 and retailed for $150.,Saucony Shadow 6000 Alife (2022),Winter training shoes,0
22,1,3043,6374fd4703a96e36ed3d19e5,22,3.796555748,The Zoom VaporFly Elite FlyPrint 'London Marathon' was designed for long-distance runner Eliud Kipchoge to wear during the annual event of the same name. Drawing color inspiration from his training ground in Kenya the sneaker recalls the clay track green grass and beetle shell iridescence. It features running’s first 3D-printed ‘FlyPrint’ upper and was created to counter water retention and enhance breathability. As a limited edition offering the sneaker was in London via the Nike App during the marathon.,Nike Zoom Vaporfly Elite Flyprint London,Winter training shoes,0
23,1,2359,6374fd9903a96e36ed3d46d7,23,3.739963996,Rei Kawakubo took a monochrome approach on the vintage shoe originally released in 1997 with the Comme des Garçons Homme Plus x Nike Air Foamposite One 'Black.' It premiered in Tokyo at the CDG Homme Plus Fall/Winter 2021 runway show and features a blacked-out synthetic upper covered in wavy circular patterns. Branding elements include an embroidered mini-Swoosh on the lateral forefoot and ‘Comme des Garçons Homme Plus’ inscribed on the heel tab. The outsole features Penny Hardaway's 1 Cent logo on the herringbone-traction rubber outsole.,Nike Air Foamposite One Comme des Garcons Homme Plus Black,Winter training shoes,2
24,1,3191,6374fd9603a96e36ed3d4282,24,3.699249256,The ACG Air Max Goadome 'Triple Black' combines a rugged winter boot aesthetic with Nike Air Max cushioning. The 3/4 high-top silhouette features a waterproof black leather upper with a cushioned perforated collar for comfortable support. A matching black midsole fitted with a visible Max Air unit is supported underfoot by a durable All-Trac rubber outsole.,Nike Air Max Goadome Black,Winter training shoes,2
25,1,1587,6374fd5403a96e36ed3d22b8,25,3.589138267,Debuting on New Year's Day 2018 the Air Zoom Pegasus 34 'Speed Red' aimed to energize Nike's winter running season with a crimson colorway. While the sneaker maintains the soft Cushlon foam midsole of its predecessor an engineered-mesh upper features wider spaces in the forefoot and promises more breathability than the previous model. The Zoom Air forefoot also creates low-profile cushioning and a snappy responsive feel.,Nike Air Zoom Pegasus 34 Speed Red,Winter training shoes,0
26,1,59,6374feabeae4ab372ce3e601,26,3.553876977,A collaboration between ASICS and Scotland's Hanon the Hanon x Gel Lyte 3 'Solstice' features a look inspired by Scottish winters. Featuring a blue suede upper with perforations on the quarter panel and toe box a purple mudguard wraps around the base of the upper. Reflective 3M detailing emerges on the underlays and Tiger stripes while the Celtic knot and flame pattern on the lining gives the nod to Celtic solstice traditions. Hanon's logo appears on the heel.,ASICS Gel-Lyte III Hanon Solstice,Winter training shoes,1
27,1,82,6374feabeae4ab372ce3e632,27,3.485392878,The Kiko Kostadinov x Gel Sokat 2 Infinity 'Brown' debuted at the Bulgarian fashion designer's Fall/Winter 2019 show. Made in collaboration with ASICS the bold update to the Gel Sokat Infinity 2 includes a brown and black mesh and molded TPU construction with a textile finish at the heel and tonal ASICS branding on the quarter panel. Underfoot a semi-transparent full-length Gel midsole provides cushioning with a podded outsole providing traction.,ASICS Gel-Sokat 2 Kiko Kostadinov Red,Winter training shoes,2
28,1,754,6374ff50c30ceb3748b48605,28,3.452131162,Tinker Hatfield's original 1988 design gets an all-weather revamp in the Air Jordan 3 Retro SE ‘Winterized.’ The upper is built with brown nubuck leather with dark grey nubuck overlays in the forefoot and heel a pink suede mudguard and purple ballistic mesh around the collar. The molded heel and exposed-foam tongue are decorated with the Signature Jumpman branding. A multi-colored polyurethane midsole with a visible Air-sole unit offer lightweight cushioning.,Jordan 3 Retro Winterized Archaeo Brown,Winter training shoes,3
29,1,2379,6374fd9903a96e36ed3d4751,29,3.452131162,Incorporating at least 20% recycled materials by weight and made for winter is the Nike Air Force 1 '07 LX 'Toasty.' Replacing traditional leather the color-blocked upper is made of quilted textile in Brown Kelp Oil Green Sequoia and soft pink hues. Warm white fleece lines the interior and it's built on a solid white rubber cupsole featuring an Air-sole heel unit encapsulated in a lightweight foam wedge.,Nike Air Force 1 '07 LX Low Toasty Oil Green,Winter training shoes,4
30,1,3215,6374fd9603a96e36ed3d4301,30,3.394169775,Originally designed to protect soccer players’ feet during winter the adidas Samba OG Cloud White Core Black has transcended its sports function but still maintains its aesthetic appeal.The adidas Samba OG Cloud White Core Black upper is built from full-grain leather with a light brown suede and dark brown heel tab providing contrast. Serrated 3-Stripes appear in deep brown on the lateral and medial sides a Bluebird tongue label and a foil logotype mark the shoe’s DNA. Underfoot a brown gum rubber outsole provides traction and durability.The adidas Samba OG Cloud White Core Black was released in January 2018 and retailed for $100.,adidas Samba OG Cloud White Core Black,Winter training shoes,3
31,1,979,6374ff50c30ceb3748b487a3,31,3.207270778,Based on the silhouette that Jordan himself wore when he clinched his sixth and final NBA championship is the Air Jordan 14 Retro 'Winterized.' It features a vacuum-molded upper made from water-resistant suede and finished in a rustic shade of Archaeo Brown. Colliding hits of Chile Red are added to the laces and color-matched branding elements with a Jumpman badge on the lateral side and 'Jordan' inscribed on the tongue. It's built on a two-tone white and black midsole and an underfoot supported by a carbon fiber shank plate and a herringbone-tread rubber outsole.,Jordan 14 Retro Winterized Archaeo Brown,Winter training shoes,3
32,1,2383,6374fd9a03a96e36ed3d476d,32,3.151388615,Delivering a winterized version of the sneaker icon in a sustainable build with at least 20% recycled materials is the Nike Air Force 1 '07 LV8 'Toasty.' The upper is made with black quilted textile with tonal synthetic suede overlays a contrasting white Swoosh and a fleece-lined interior for cozy comfort. Nike's pinwheel logo is on the woven tongue tag with a blue Swoosh embroidered on the heel tab. It's built on a white rubber midsole and a speckled outsole made in part with Nike Grind composed of recycled scraps from the manufacturing process.,Nike Air Force 1 Low '07 LV8 Toasty Black White,Winter training shoes,3
33,1,632,6374fd6e03a96e36ed3d317b,33,1.462773743,A collaboration with Shoe Palace to celebrate the retailer's 25th anniversary the Shoe Palace x Air Huarache Zip '25th Anniversary' features a silver and grey build contrasted by hits of red throughout. A branded zipper runs down the tongue noting the shoe's model number out of 500 with XXV and '93 as nods to Shoe Palace's first year in business. The insole sports further callouts to Shoe Palace while a red outsole brings additional color to the look.,Nike Air Huarache Run Zip Shoe Palace 25th Anniversary,Winter training shoes,0
34,1,3015,6374fd4703a96e36ed3d1b27,34,1.446109584,One of three debut colorways of the hands-free sneaker the GO Flyease released in February 2021. The shoe features a patent-pending bi-stable hinge which is secured by a rubber midsole tensioner that runs the length of the shoe. Easy access is provided by the back of the insole which is raised at about 30 degrees when the hinge is open collapsing when the shoe is on. A 'kickstand' heel allows the shoe to easily be taken off.,Nike Go FlyEase Black,Winter training shoes,0
35,1,1127,6374ff50c30ceb3748b488a9,35,1.426471192,The Luka Doncic x Air Jordan 1 Mid SE 'Pregame Pack - Mindfulness' released as part of the three-shoe Pregame Pack. Drawing from Luka Doncic's pregame ritual the shoes feature 'Breathe & Center' on the heel of the left shoe and 'Center & Breathe' on the right. The rest of the upper is built with white leather accented by mismatched teal and purple hits between the left and right shoes.,Jordan 1 Mid Pregame Pack Mindfulness Luka Doncic,Winter training shoes,0
36,1,696,6374fd6e03a96e36ed3d34d8,36,1.413672597,The Air Zoom Alphafly Next% 'Watermelon' is a technical running shoe with a pastel colorway. The shoe's upper is built with AtomKnit which builds on Flyknit finished in white and complemented by the Swoosh branding in red. Underfoot the shoe's ZoomX foam midsole appears in green to give the shoe its name working with dual Zoom Air units in the forefoot for cushioning. A full-length carbon fiber plate offers stability.,Nike Air Zoom Alphafly Next% Watermelon,Winter training shoes,0
37,1,866,6374ff50c30ceb3748b486cb,37,1.341457585,The classic construction of the Air Jordan 1 Low emerges with a mismatched look on the Air Jordan 1 Low 'Mismatched - Purple Magenta.' The shoe's upper features a white leather base with Thunder Blue overlaying the eyestay and forefoot but the left shoe includes purple on the toe box collar and Swoosh with grey on the heel overlay. The right shoe instead features a mix of magenta and orange with the collar lining and rubber outsole continuing the mismatched look finished in pink on the right shoe and yellow on the left.,Jordan 1 Low Purple Magenta (W),Winter training shoes,0
38,1,111,6374feabeae4ab372ce3e676,38,1.33123366,The Ronnie Fieg x Gel Lyte 3 OG 'The Palette - Waffle' released as part of The Palette a 30-shoe collection and was limited to 300 pairs. Utilizing one of the most-used colors in Kith's history the shoe's pigskin suede upper appears entirely in off-white. Perforations throughout provide breathability while the split tongues include '30' on the left shoe and 'Fieg' on the right. The midsole includes Gel for cushioning.,ASICS Gel-Lyte III Ronnie Fieg The Palette Waffle,Winter training shoes,0
39,1,410,6374ff4bc30ceb3748b485d1,39,1.33123366,The OFF-WHITE x Wmns Waffle Racer 'Electric Green' from Virgil Abloh and Nike released as part of a three-shoe pack. Featuring the designer's signature aesthetic the upper is overlaid by a translucent textile accented by Electric Green on the laces. A hang-tag emerges on the right shoe with the usual overbranding on the medial side of both shoes. Underfoot a bold spiked outsole is included for traction.,Nike Waffle Racer Off-White White (W),Winter training shoes,0
40,1,367,6374ff4bc30ceb3748b4855e,40,1.330132996,The Air Presto 'What The' brings the mashup treatment to the T-shirt for your feet. Drawing from various OG colorways of the runner the shoe's mismatched uppers include a 'Rogue Kielbasa' vamp on the left shoe joined by a 'Shady Milkman' fleece collar and 'Unholy Cumulus' lacing cage. The right shoe instead sports a 'Trouble at Home' lightning design on the vamp with the 'Brutal Honey' getting the nod via a yellow mesh lining while the 'Orange Monk' citrus midsole provides cushioning underfoot. Even the sockliners are mismatched with the left shoe sporting '20' and the right sporting T-shirt sizing.,Nike Air Presto What The,Winter training shoes,0
41,1,3030,6374fd4703a96e36ed3d19ce,41,1.323777274,Part of a five-shoe collection the ZoomX Vaporfly NEXT% 'Ekiden Zoom Pack' released for Japan's Ekiden relay race. The shoe's VaporWeave upper appears in Aurora on the right shoe with Hyper Crimson on the left. The inverse colors emerge on the ZoomX foam midsole underfoot which incorporates a full-length carbon fiber plate for stability. A tapered heel is included for a more natural stride.,Nike ZoomX Vaporfly Next% Ekiden,Winter training shoes,0
42,1,205,6374feabeae4ab372ce3e827,42,1.31640395,The Sean Wotherspoon x atmos x Gel Lyte 3 PS 'Corduroy' is a preschool iteration of the collaborative shoe. Designed to celebrate the 20th anniversary of atmos and the 30th anniversary of the shoe itself the upper emerges here in mismatched corduroy with interchangeable Tiger stripes and removable logo patches. The right shoe's colorway recalls Los Angeles while the left is modeled after Tokyo. Gel underfoot provides cushioning.,ASICS Gel-Lyte III Sean Wotherspoon x atmos (PS),Winter training shoes,0
43,1,1414,6374fd7803a96e36ed3d3c0a,43,1.309112309,A track-inspired shoe the Wmns Crater Impact 'Summit White Grey Fog' also features a sustainable construction. Built with mesh the shoe's upper appears in off-white highlighted by the zigzag stitching and heel pull-loop which are finished in orange. Embroidered Swoosh branding and straight-edged overlays are the product of the shoe's more efficient construction while underfoot a Crater foam midsole which incorporates Nike Grind provides cushioning.,Nike Crater Impact Summit White Grey Fog (W),Winter training shoes,0
44,1,152,6374feabeae4ab372ce3e6fe,44,1.301901001,The Ronnie Fieg x Gel Lyte 3 OG 'The Palette - Anchor' released to celebrate 30 years of the silhouette. Part of The Palette a 30-shoe collection the shoe was limited to just 300 pairs. The shoe's all-blue upper draws from previous Kith releases built with pigskin suede and sporting '30' on the left tongue and 'Fieg' on the right. The black midsole underfoot houses Gel for cushioning.,ASICS Gel-Lyte III Ronnie Fieg The Palette Anchor,Winter training shoes,0
45,1,887,6374ff50c30ceb3748b486f0,45,1.301901001,The Air Jordan 5 Retro 'Alternate Bel-Air' draws from a 2013 Air Jordan colorway also inspired by the Fresh Prince of Bel-Air. The shoe's 90s-inspired look includes a white leather construction on the upper with the inner lining sporting a vibrant print mismatched between the shoes. Further mismatched hits include the Jumpman and '23' branding while underfoot both shoes house visible Air for cushioning.,Jordan 5 Retro Alternate Bel-Air,Winter training shoes,0
46,1,1070,6374ff50c30ceb3748b4884e,46,1.301901001,The Air Jordan 1 Retro High OG GS 'Court Purple 2.0' is a grade-school shoe. Borrowing its color-blocking from the 'Chicago' colorway the shoe features a white and black base overlaid by Court Purple. Unlike its 2018 'Court Purple' predecessor the shoe features a white toe box while underfoot the Air midsole gives way to a concentric outsole in further Court Purple.,Jordan 1 Retro High Court Purple White (GS),Winter training shoes,0
47,1,1828,6374fd8803a96e36ed3d3eab,47,1.301901001,The UltraBoost 1.0 S&L 'Blue Grey' released as part of a three-shoe pack of shoes with an elevated build. The shoe's uper features a mesh base overlaid by suede and leather including on the Three-Stripes lacing cage and external heel counter. Finished in black Footwear White and Grey Three blue brings color to the look throughout. Underfoot a Boost midsole provides cushioning giving way to a Continental rubber outsole.,adidas Ultra Boost S&L Blue Grey,Winter training shoes,0
48,1,487,6374fd7403a96e36ed3d3669,48,1.300424017,The OMN1S 'Sunrise' released alongside two similarly styled colorways. A follow-up to the Sunset Pack the shoe features a mismatched look with yellow on the left shoe and pink on the right. Built with FitWeave both uppers are supported by black FuelCell midsoles underfoot.,New Balance OMN1S Kawhi Leonard Sunrise,Winter training shoes,0
49,1,72,6374feabeae4ab372ce3e61c,49,1.28771413,The Ronnie Fieg x Gel Lyte 3 OG 'The Palette - Quicksand' released as part of a 30-shoe collection known as The Palette. Limited to 300 pairs and celebrating 30 years of the silhouette the shoe features a pigskin suede upper finished in a monochromatic fashion inspired by past Kith collections. The left shoe includes '30' debossed on the left tongue with 'Fieg' on the right while the midsole incorporates Gel for cushioning.,ASICS Gel-Lyte III Ronnie Fieg The Palette Quicksand,Winter training shoes,0
50,2,1551,6374fd5403a96e36ed3d21bf,0,7.471588056,The Wmns Air Zoom Pegasus 36 Trail 'Pink Quartz' adapts its performance running construction for the trail. The shoe's upper is built with perforated mesh finished in pink and bolstered by no-sew overlays. Flywire cables support the fit while underfoot a Cushlon midsole houses two Zoom Air units to provide cushioning. A lugged outsole provides traction.,Nike Air Zoom Pegasus 36 Trail Pink Quartz (W),Trail running shoes,5
51,2,1555,6374fd5403a96e36ed3d21c8,1,6.448884135,The Air Zoom Pegasus 36 Trail 'Aura' updates its performance running construction for the trail. Built with perforated mesh the upper appears in light blue with almost-tonal overlays on the forefoot and heel. Speckled detailing marks the eyestay while underfoot a yellow Cushlon midsole works with Zoom Air in the forefoot and heel for cushioning. A red rubber outsole with a lugged pattern provides traction.,Air Zoom Pegasus 36 Trail Aura,Trail running shoes,5
52,2,1586,6374fd5403a96e36ed3d22a8,2,6.266492498,The Air Zoom Pegasus 36 Trail 'Cargo Khaki' emerges with a colorful mix of hues on its running construction. Designed for uphill running the shoe features an Engineered Mesh upper with synthetic overlays at the toe heel and eyestay. Finished in black and Cargo Khaki a Team Gold Swoosh contrasts the side wall. Underfoot a Cushlon and Zoom Air midsole provides cushioning giving way to a lug-style outsole in Ocean Cube.,Nike Air Zoom Pegasus 36 Trail Cargo Khaki,Trail running shoes,5
53,2,1395,6374fd7803a96e36ed3d3bd9,3,6.144089313,Dropping as part of the brands’ Fall 2019 collection the Gyakusou x Nike Air Zoom Pegasus 36 Trail 'Yellow' finds UNDERCOVER founder Jun Takahashi shifting his focus from street running to the trail. The versatile sneaker uses a convenient toggle lacing system on a water-repellent mesh upper finished in a dark yellow hue. A rose graphic on the quarter panel complements Gyakusou branding at the heel.,Nike Air Zoom Pegasus 36 Trail Gyakusou Yellow,Trail running shoes,5
54,2,678,6374fd6e03a96e36ed3d34a3,4,6.096145273,The Gyakusou x Nike Air Zoom Pegasus 36 Trail 'Red' is drawn from the brands’ Fall 2019 collection inspired by the spirit of the 1970s running revolution. The trail runner features a water-repellent red mesh upper embellished with a rose graphic its delicate petals and sharp thorns symbolizing designer Jun Takahashi’s balance/chaos ethos. The lightweight build rests on a foam midsole with Zoom Air cushioning.,Nike Air Zoom Pegasus 36 Trail Gyakusou Red,Trail running shoes,5
55,2,1572,6374fd5403a96e36ed3d225a,5,5.809569718,The Air Zoom Pegasus 36 Trail 'Luminous Green' features a vibrant two-tone look and additional traction for uphill runs. The shoe's upper is built with Engineered Mesh supported by synthetic overlays at the eyestay toe and heel. Black on the Swoosh branding provides contrast while underfoot the Cushlon foam midsole houses two Zoom Air units for cushioning. A lug-style tread on the outsole provides traction.,Nike Air Zoom Pegasus 36 Trail Luminous Green,Trail running shoes,5
56,2,1502,6374fd5403a96e36ed3d2106,6,5.750760621,The Air Zoom Pegasus 36 Trail Gore-Tex 'Black' applies a stealthy monochromatic finish on a running shoe made to take on inclement weather. The sneaker’s one-piece mesh upper is fortified with waterproof Gore-Tex insulation while a foam midsole houses double Zoom Air cushioning for a springy feel with each step. The kicks are finished with reflective detailing and a high-traction rubber outsole.,Nike Zoom Pegasus 36 Trail Gore-tex Black,Trail running shoes,5
57,2,1533,6374fd5403a96e36ed3d2175,7,5.747654637,The Wmns Pegasus Trail 2 Gore-Tex 'Mystic Dates Blue' features a vibrant colorway on its performance running construction. The shoe's textile upper appears in a mix of Mystic Dates and Astronomy Blue with orange highlighting the laces and heel pull-loop. Lined with Gore-Tex the shoe's medial side reflects that fact via Gore-Tex branding. Underfoot the React midsole sports speckled detailing while the outsole incorporates a bike-tire tread for traction.,Nike Pegasus Trail 2 Gore-Tex Mystic Dates Astronomy Blue (W),Trail running shoes,5
58,2,1512,6374fd5403a96e36ed3d212f,8,5.636643423,Delivering a running shoe with stability and off-road traction is the Nike Pegasus Trail 3 'Dark Beetroot.' The upper features maroon-colored mesh overlaid with tonal protective skins and accented with a cropped amber Swoosh on the lateral side. It's built on a full-length Nike React midsole speckled sidewalls in a neutral grey finish. On the bottom is a lugged rubber outsole in Bright Crimson with a shockwave traction pattern.,Nike Pegasus Trail 3 Dark Beetroot,Trail running shoes,5
